"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter","Info","bt_data","comment"
"4833","67.050","Master_0xaf9a9b6d","LE 1M","ATT","11","150\302\265s","0","0","False","3","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0001..0xffff","",""
"4838","67.098","Slave_0xaf9a9b6d","LE 1M","ATT","18","150\302\265s","0","1","False","4","Rcvd Read By Group Type Response, Attribute List Length: 2, Generic Access Profile, Unknown","",""
"4842","67.239","Master_0xaf9a9b6d","LE 1M","ATT","11","47121\302\265s","0","0","False","7","Sent Read By Type Request, GATT Include Declaration, Handles: 0x0001..0x0007","",""
"4845","67.287","Slave_0xaf9a9b6d","LE 1M","ATT","9","150\302\265s","1","0","False","8","Rcvd Error Response - Attribute Not Found, Handle: 0x0001 (Generic Access Profile)","",""
"4846","67.334","Master_0xaf9a9b6d","LE 1M","ATT","11","47120\302\265s","0","0","False","9","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0001..0x0007","",""
"4849","67.382","Slave_0xaf9a9b6d","LE 1M","ATT","27","150\302\265s","1","0","False","10","Rcvd Read By Type Response, Attribute List Length: 3, Device Name, Appearance, Peripheral Preferred Connection Parameters","",""
"4850","67.429","Master_0xaf9a9b6d","LE 1M","ATT","11","46976\302\265s","0","0","False","11","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0007..0x0007","",""
"4853","67.477","Slave_0xaf9a9b6d","LE 1M","ATT","9","150\302\265s","1","0","False","12","Rcvd Error Response - Attribute Not Found, Handle: 0x0007 (Generic Access Profile: Peripheral Preferred Connection Parameters)","",""
"4854","67.524","Master_0xaf9a9b6d","LE 1M","ATT","11","47120\302\265s","0","0","False","13","Sent Read By Type Request, GATT Include Declaration, Handles: 0x0008..0xffff","",""
"4858","67.620","Slave_0xaf9a9b6d","LE 1M","ATT","9","150\302\265s","1","0","False","15","Rcvd Error Response - Attribute Not Found, Handle: 0x0008 (Unknown)","",""
"4859","67.682","Master_0xaf9a9b6d","LE 1M","ATT","11","62121\302\265s","0","0","False","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0008..0xffff","",""
"4860","67.699","Master_0xaf9a9b6d","LE 1M","ATT","11","17333\302\265s","0","0","False","17","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0008..0xffff","",""
"4862","67.717","Master_0xaf9a9b6d","LE 1M","ATT","11","17103\302\265s","0","0","False","18","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0008..0xffff","",""
"4865","67.718","Slave_0xaf9a9b6d","LE 1M","ATT","27","150\302\265s","1","0","False","18","Rcvd Read By Type Response, Attribute List Length: 3, Unknown, Unknown, Unknown","",""
"4868","67.734","Master_0xaf9a9b6d","LE 1M","ATT","11","15869\302\265s","1","1","False","19","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0010..0xffff","",""
"4871","67.752","Slave_0xaf9a9b6d","LE 1M","ATT","9","150\302\265s","0","1","False","20","Rcvd Error Response - Attribute Not Found, Handle: 0x0010 (Unknown: Unknown)","",""
"4873","67.770","Slave_0xaf9a9b6d","LE 1M","ATT","9","150\302\265s","0","1","False","21","Rcvd Error Response - Attribute Not Found, Handle: 0x0010 (Unknown: Unknown)","",""
"4874","67.787","Master_0xaf9a9b6d","LE 1M","ATT","9","17119\302\265s","1","1","False","22","Sent Find Information Request, Handles: 0x000b..0x000b","",""
"4877","67.805","Slave_0xaf9a9b6d","LE 1M","ATT","10","150\302\265s","0","1","False","23","Rcvd Find Information Response, Handle: 0x000b (Unknown: Unknown: Client Characteristic Configuration)","",""
